cycle,time_duration,voltage_mean,voltage_min,voltage_max,charge_mean,charge_max,temperature_mean,temperature_max,Cycle,Capacity_mAh
cyc2600,0.035577632,3.843365538,2.7367306,4.1999946,316.1988757,632.3887851,40.18429925,41.174809,2600,632.3888262
cyc2700,0.035442931,3.842747974,2.7365701,4.1999545,315.0461475,629.9572173,40.14660483,41.087425,2700,629.9572584
cyc2800,0.03529563,3.843359376,2.7367306,4.1999145,313.7106214,627.3439848,40.16893909,41.137371,2800,627.3440258
cyc2900,0.035112062,3.846021641,2.7375326,4.2001953,312.0823658,624.1095617,40.11547255,41.087425,2900,624.1096028
cyc3000,0.035020196,3.844764193,2.7369711,4.1997943,311.2422823,622.4489089,40.22889601,41.224712,3000,622.44895
cyc3100,0.034880156,3.845269708,2.7370512,4.1999145,310.0172835,619.9778349,40.17080624,41.187275,3100,619.977876
cyc3200,0.034728421,3.847543804,2.7374926,4.1997542,308.6946433,617.3031788,40.1685918,41.162304,3200,617.3032199
cyc3300,0.034618643,3.846469857,2.7379737,4.1998744,307.7624663,615.3476619,40.12707675,41.1124,3300,615.3477029
cyc3500,0.034390261,3.849057052,2.7378762,4.1998973,305.7352868,611.3405703,39.99302893,40.975075,3500,611.3406114
cyc3600,0.034301037,3.848198656,2.7377157,4.1999373,304.8906085,609.7195456,40.00761459,41.000046,3600,609.7195867
cyc3700,0.034046266,3.849275027,2.736994,4.1999373,302.6326485,605.1998563,39.07213948,41.823875,3700,605.1998974
cyc3800,0.03398596,3.851339434,2.7379563,4.2000976,302.1251242,604.134921,40.10450625,41.062458,3800,604.1349621
cyc3900,0.033916736,3.849938245,2.7377958,4.1997371,301.4898063,602.8723866,40.11685052,41.124866,3900,602.8724277
cyc4000,0.033806577,3.850267412,2.7380767,4.2000976,300.4566308,600.9075598,40.1654902,41.162304,4000,600.9076009
cyc4100,0.033657872,3.852720322,2.7383974,4.1999774,299.2330509,598.2787879,40.1562837,41.174809,4100,598.2788289
cyc4200,0.0335669,3.851570986,2.7386129,4.1999521,298.4313076,596.7047192,40.16930452,41.19978,4200,596.7047603
cyc4300,0.03342217,3.851738343,2.7387731,4.1999121,297.0699963,594.0871314,40.12059369,41.099892,4300,594.0871725
cyc4400,0.033301499,3.852162116,2.739094,4.1999922,296.0365034,591.9284796,40.13044166,41.1124,4400,591.9285207
cyc4500,0.033155685,3.854475742,2.7392144,4.1999121,294.7104929,589.3588372,40.12464661,41.149837,4500,589.3588783
cyc4600,0.033084041,3.85302535,2.7393346,4.199832,294.0907994,588.0833075,40.07998243,41.1124,4600,588.0833486
cyc4800,0.032869075,3.85378004,2.7398553,4.2000718,292.1354235,584.2617834,40.11676717,41.174809,4800,584.2618245
cyc5000,0.032604706,3.856037571,2.7401855,4.1999211,289.8896377,579.5968327,40.07313574,41.099892,5000,579.5968738
cyc5100,0.032499437,3.855393162,2.7404263,4.2000813,288.8337401,577.6717759,40.02057348,41.099892,5100,577.671817
cyc5200,0.032375055,3.859030565,2.7403576,4.2001333,287.8331127,575.5147034,40.35635612,41.411942,5200,575.5147445
cyc5300,0.032335252,3.856176057,2.740438,4.1997323,287.3881189,574.7467035,40.36023588,41.374504,5300,574.7467446
cyc5400,0.032226586,3.856454097,2.7405181,4.1999326,286.4609567,572.8103356,40.36279731,41.399475,5400,572.8103767
cyc5500,0.032009453,3.860951676,2.7411196,4.1999726,284.514031,568.9614464,40.40914359,41.486858,5500,568.9614875
cyc5600,0.03199154,3.857615482,2.7409592,4.2000527,284.4033926,568.6323374,40.39846535,41.486858,5600,568.6323784
cyc5700,0.03188782,3.857749324,2.7411997,4.2001333,283.4790872,566.7898372,40.43134414,41.461884,5700,566.7898783
cyc5800,0.031773331,3.859175062,2.7411997,4.2000928,282.4598508,564.7710881,40.45601511,41.511826,5800,564.7711292
cyc5900,0.031675672,3.858431832,2.7415607,4.1997323,281.5265438,563.0229675,40.41903696,41.474392,5900,563.0230086
cyc6000,0.031591573,3.858743459,2.7415206,4.1998525,280.8092718,561.531986,40.42732435,41.511826,6000,561.532027
cyc6100,0.031446301,3.86203307,2.7419999,4.1999307,279.510182,559.0240165,40.47335587,41.574238,6100,559.0240575
cyc6200,0.031447501,3.859378609,2.7419198,4.1999707,279.5868775,558.993235,40.4484153,41.524292,6200,558.9932761
cyc6300,0.031348758,3.859588273,2.7420802,4.1998506,278.6620191,557.2408422,40.42864345,41.474392,6300,557.2408833
cyc6400,0.03116784,3.863846949,2.7426817,4.1999707,277.0212858,554.0352644,40.50892205,41.649113,6400,554.0353055
cyc6500,0.031189777,3.860255314,2.7425613,4.2000108,277.2331816,554.4326746,40.4724284,41.549267,6500,554.4327157
cyc6600,0.031085437,3.860454396,2.7426817,4.1997705,276.3131922,552.593674,40.47916709,41.511826,6600,552.5937151
cyc6700,0.030991229,3.865684433,2.7427235,4.1999726,275.5241116,550.9885335,40.44455397,41.524292,6700,550.9885746
cyc6800,0.030963816,3.861792112,2.7426832,4.199892,275.2970377,550.4593526,40.43516779,41.474392,6800,550.4593936
cyc6900,0.030889238,3.861589972,2.7430441,4.2000527,274.5783553,549.1350762,40.46312467,41.461884,6900,549.1351173
cyc7000,0.030665879,3.866972908,2.7436457,4.1999321,272.6392522,545.1952021,40.42034231,41.524292,7000,545.1952432
cyc7100,0.030665879,3.866972908,2.7436457,4.1999321,272.6392522,545.1952021,40.42034231,41.524292,7100,545.1952432
cyc7200,0.030667514,3.862478273,2.7434051,4.199852,272.6283957,545.2029576,40.48514513,41.474392,7200,545.2029986
cyc7300,0.030581909,3.862615851,2.7438862,4.1997318,271.8982331,543.670512,40.49005596,41.486858,7300,543.6705531
cyc7400,0.030483396,3.862855959,2.7439265,4.2000928,270.9765314,541.9178534,40.46453871,41.511826,7400,541.9178945
cyc7500,0.030356437,3.86530783,2.7448661,4.1999497,269.8513236,539.6733627,40.47607413,41.499325,7500,539.6734038
cyc7600,0.030306194,3.863493014,2.7444651,4.1999497,269.4357047,538.7682346,40.46874784,41.461884,7600,538.7682757
cyc7700,0.030239281,3.863689139,2.7445853,4.1999898,268.8148815,537.5784987,40.48420277,41.486858,7700,537.5785397
cyc7800,0.030077632,3.86718284,2.7453873,4.199789,267.3797645,534.7154671,40.4792121,41.499325,7800,534.7155082
cyc7900,0.030079507,3.864365941,2.7451468,4.199789,267.3724497,534.7317289,40.4622032,41.474392,7900,534.73177
cyc8000,0.029998133,3.86466545,2.7453473,4.199789,266.656762,533.2962154,40.44268961,41.486858,8000,533.2962564
cyc8100,0.029781157,3.869334728,2.7461493,4.20011,264.8160532,529.4571383,40.51272589,41.586704,8100,529.4571794
cyc8200,0.029845686,3.865359945,2.7457883,4.1999097,265.3257593,530.5961184,40.42719646,41.449417,8200,530.5961595
